iter	MAE
0	3.31751284
1	3.2777093
2	3.265596077
3	3.242140968
4	3.218850748
5	3.195873065
6	3.176116797
7	3.166946796
8	3.150271993
9	3.143126886
10	3.112943463
11	3.095050559
12	3.072129509
13	3.05474273
14	3.037545028
15	3.001790132
16	2.991807123
17	2.979770582
18	2.960007106
19	2.954317097
20	2.94568901
21	2.941495492
22	2.936506535
23	2.916108327
24	2.912132155
25	2.903846557
26	2.892288636
27	2.882500427
28	2.867759553
29	2.85416294
30	2.845712972
31	2.839483071
32	2.830061724
33	2.823032866
34	2.814715559
35	2.807081462
36	2.799876539
37	2.797564718
38	2.79083117
39	2.785740449
40	2.782571294
41	2.781050393
42	2.776971606
43	2.760037007
44	2.757389711
45	2.753297268
46	2.748985465
47	2.744701938
48	2.738826589
49	2.73529465
50	2.732924764
51	2.730650341
52	2.72711796
53	2.724747408
54	2.72133522
55	2.718807524
56	2.718216739
57	2.717191657
58	2.716603901
59	2.714142312
60	2.712025226
61	2.709814124
62	2.708498072
63	2.706236441
64	2.705018161
65	2.704517018
66	2.702976529
67	2.702071756
68	2.701571393
69	2.698763396
70	2.698556267
71	2.698083206
72	2.696631677
73	2.695652179
74	2.693296482
75	2.692482925
76	2.69164963
77	2.69050464
78	2.690190929
79	2.690065429
80	2.688148045
81	2.685248609
82	2.685244787
83	2.685597887
84	2.683517849
85	2.683721114
86	2.683617959
87	2.683422805
88	2.680992724
89	2.679178153
90	2.679601761
91	2.679177783
92	2.676972679
93	2.676429493
94	2.675489978
95	2.663408071
96	2.663896657
97	2.663891743
98	2.663907146
99	2.66400426
100	2.66379062
101	2.663212429
102	2.655339612
103	2.655811922
104	2.655871665
105	2.655987133
106	2.656164412
107	2.654169565
108	2.653315553
109	2.639148053
110	2.638249155
111	2.638100511
112	2.63724428
113	2.61640807
114	2.616117577
115	2.615720038
116	2.608580092
117	2.608530247
118	2.608370333
119	2.607493596
120	2.607520047
121	2.607562284
122	2.606401797
123	2.606101102
124	2.605512489
125	2.605196228
126	2.604477283
127	2.604600485
128	2.604663821
129	2.604575837
130	2.60489334
131	2.605480259
132	2.605601806
133	2.604420921
134	2.603977473
135	2.602446546
136	2.602024607
137	2.602259817
138	2.602163347
139	2.602346368
140	2.602493459
141	2.601839439
142	2.601892375
143	2.58862295
144	2.588191524
145	2.587274469
146	2.587206795
147	2.587003195
148	2.58694156
149	2.586595961
150	2.586358046
151	2.586442439
152	2.586528629
153	2.581438855
154	2.579525262
155	2.579557862
156	2.579629803
157	2.579512052
158	2.58005091
159	2.572200135
160	2.572139585
161	2.57283214
162	2.572891389
163	2.571841795
164	2.570975765
165	2.556884671
166	2.557038352
167	2.557179938
168	2.557058864
169	2.557248099
170	2.557287054
171	2.557416835
172	2.556862994
173	2.556962291
174	2.55750857
175	2.557656003
176	2.557122875
177	2.557219239
178	2.557381129
179	2.557133621
180	2.557011793
181	2.55699835
182	2.556808282
183	2.556746391
184	2.556583302
185	2.545784525
186	2.545110317
187	2.545227646
188	2.54559899
189	2.545972305
190	2.546038633
191	2.546448077
192	2.546795188
193	2.546851339
194	2.546189688
195	2.546708848
196	2.546825962
197	2.546820338
198	2.545528836
199	2.545430039
200	2.544593427
201	2.544880453
202	2.54485328
203	2.544704164
204	2.543859536
205	2.543957004
206	2.543621103
207	2.543277255
208	2.54296896
209	2.541765067
210	2.541826708
211	2.54188139
212	2.541575301
213	2.541550985
214	2.541574248
215	2.541560372
216	2.541308397
217	2.541694465
218	2.540624751
219	2.540756527
220	2.54068797
221	2.540432531
222	2.540364691
223	2.539979964
224	2.540020808
225	2.540101754
226	2.540164079
227	2.539942294
228	2.539957632
229	2.539189373
230	2.539179821
231	2.539219039
232	2.539010521
233	2.538667691
234	2.538362399
235	2.538566473
236	2.53861376
237	2.539078822
238	2.537966863
239	2.538414002
240	2.53840797
241	2.538440104
242	2.537885105
243	2.537833634
244	2.537948825
245	2.538014198
246	2.538431034
247	2.537815303
248	2.537847108
249	2.538183945
250	2.538243689
