iter	Passed	Remaining
0	32	14870
1	63	14428
2	94	14139
3	124	13929
4	153	13735
5	182	13625
6	211	13503
7	241	13453
8	270	13327
9	299	13252
10	327	13150
11	356	13091
12	385	13055
13	415	13040
14	443	12956
15	472	12901
16	500	12844
17	529	12791
18	555	12691
19	584	12657
20	612	12603
21	640	12540
22	667	12487
23	695	12434
24	723	12380
25	749	12310
26	777	12267
27	803	12203
28	829	12130
29	854	12047
30	880	11990
31	906	11924
32	932	11871
33	958	11809
34	983	11748
35	1010	11707
36	1035	11639
37	1061	11594
38	1086	11528
39	1109	11456
40	1135	11407
41	1158	11340
42	1181	11268
43	1204	11196
44	1228	11136
45	1250	11066
46	1274	11006
47	1296	10939
48	1318	10870
49	1338	10789
50	1360	10720
51	1379	10639
52	1400	10568
53	1420	10493
54	1437	10405
55	1455	10316
56	1473	10239
57	1492	10161
58	1511	10091
59	1530	10024
60	1550	9962
61	1568	9894
62	1587	9828
63	1606	9765
64	1625	9703
65	1643	9635
66	1662	9576
67	1681	9517
68	1699	9455
69	1716	9391
70	1734	9330
71	1752	9274
72	1771	9222
73	1789	9165
74	1808	9112
75	1827	9063
76	1845	9010
77	1864	8962
78	1883	8917
79	1901	8864
80	1919	8814
81	1936	8762
82	1953	8708
83	1971	8659
84	1990	8616
85	2008	8570
86	2026	8525
87	2043	8475
88	2061	8431
89	2078	8384
90	2096	8341
91	2113	8294
92	2131	8251
93	2149	8208
94	2166	8165
95	2183	8121
96	2201	8079
97	2219	8038
98	2237	7999
99	2255	7962
100	2273	7923
101	2289	7879
102	2307	7840
103	2324	7799
104	2342	7764
105	2359	7725
106	2377	7689
107	2394	7650
108	2412	7614
109	2428	7572
110	2446	7536
111	2464	7504
112	2482	7468
113	2499	7431
114	2515	7394
115	2532	7358
116	2549	7321
117	2567	7287
118	2585	7255
119	2602	7220
120	2619	7187
121	2637	7156
122	2655	7123
123	2672	7090
124	2689	7057
125	2706	7023
126	2723	6991
127	2741	6960
128	2758	6927
129	2775	6896
130	2793	6865
131	2810	6834
132	2828	6804
133	2845	6774
134	2863	6745
135	2880	6714
136	2898	6684
137	2915	6654
138	2932	6625
139	2950	6596
140	2967	6566
141	2985	6539
142	3003	6512
143	3021	6483
144	3039	6455
145	3056	6426
146	3073	6398
147	3091	6370
148	3109	6344
149	3126	6315
150	3144	6288
151	3162	6261
152	3179	6233
153	3197	6208
154	3215	6181
155	3232	6155
156	3250	6127
157	3267	6101
158	3284	6073
159	3301	6046
160	3319	6019
161	3337	5995
162	3354	5968
163	3372	5942
164	3390	5917
165	3407	5891
166	3424	5865
167	3442	5839
168	3460	5814
169	3477	5788
170	3495	5764
171	3512	5738
172	3530	5714
173	3548	5689
174	3565	5663
175	3582	5638
176	3600	5613
177	3616	5587
178	3633	5561
179	3649	5535
180	3667	5511
181	3684	5486
182	3701	5461
183	3719	5437
184	3736	5412
185	3753	5387
186	3771	5364
187	3788	5340
188	3805	5315
189	3823	5293
190	3841	5269
191	3858	5245
192	3875	5220
193	3893	5197
194	3910	5174
195	3929	5151
196	3946	5128
197	3964	5105
198	3981	5081
199	3999	5059
200	4017	5036
201	4035	5014
202	4053	4991
203	4071	4969
204	4088	4946
205	4106	4923
206	4124	4901
207	4141	4878
208	4158	4855
209	4176	4833
210	4193	4809
211	4211	4787
212	4229	4765
213	4247	4743
214	4265	4722
215	4283	4700
216	4300	4676
217	4318	4654
218	4334	4631
219	4352	4609
220	4370	4587
221	4387	4565
222	4405	4543
223	4423	4522
224	4441	4500
225	4458	4478
226	4476	4456
227	4494	4435
228	4513	4414
229	4530	4392
230	4547	4370
231	4565	4348
232	4582	4326
233	4600	4305
234	4617	4283
235	4635	4262
236	4653	4240
237	4670	4219
238	4688	4197
239	4705	4176
240	4723	4154
241	4741	4133
242	4759	4113
243	4776	4091
244	4794	4070
245	4811	4048
246	4828	4027
247	4847	4006
248	4865	3985
249	4882	3964
250	4900	3943
251	4918	3922
252	4936	3902
253	4954	3881
254	4971	3860
255	4989	3839
256	5007	3818
257	5025	3798
258	5043	3778
259	5061	3757
260	5078	3735
261	5095	3714
262	5113	3694
263	5132	3674
264	5150	3654
265	5169	3634
266	5187	3614
267	5206	3593
268	5224	3573
269	5242	3553
270	5260	3532
271	5279	3513
272	5297	3492
273	5315	3472
274	5334	3452
275	5352	3432
276	5369	3411
277	5388	3391
278	5406	3371
279	5425	3352
280	5442	3331
281	5459	3310
282	5477	3290
283	5494	3269
284	5512	3249
285	5529	3228
286	5547	3208
287	5564	3188
288	5582	3167
289	5599	3147
290	5617	3127
291	5635	3107
292	5652	3086
293	5669	3066
294	5687	3046
295	5704	3025
